timme,kurs
12.0,1197.25
13.0,1199.0
14.0,1200.75
15.0,1203.5
16.0,1205.0
17.0,1209.75
10.0,1222.0
11.0,1221.0
12.0,1213.25
13.0,1211.0
14.0,1211.5
15.0,1208.5
16.0,1211.25
17.0,1223.25
10.0,1229.75
11.0,1233.0
12.0,1233.5
13.0,1233.5
14.0,1234.5
15.0,1234.5
16.0,1229.5
17.0,1231.75
10.0,1237.0
11.0,1235.0
12.0,1233.75
13.0,1236.75
14.0,1237.5
15.0,1240.25
16.0,1242.5
17.0,1239.75
10.0,1248.5
11.0,1246.25
12.0,1246.75
13.0,1247.75
14.0,1247.0
15.0,1246.75
16.0,1244.75
17.0,1247.5
10.0,1241.25
11.0,1242.5
12.0,1242.25
13.0,1242.25
14.0,1241.5
15.0,1241.25
16.0,1240.0
17.0,1238.75
10.0,1238.0
11.0,1240.25
12.0,1240.25
13.0,1238.5
14.0,1237.5
15.0,1239.5
16.0,1242.25
17.0,1236.0
10.0,1209.0
11.0,1203.75
12.0,1211.0
13.0,1208.0
14.0,1206.75
15.0,1204.25
16.0,1204.0
17.0,1201.5
10.0,1203.75
11.0,1200.25
12.0,1207.25
13.0,1207.75
14.0,1208.75
15.0,1210.75
16.0,1222.75
17.0,1226.75
10.0,1227.75
11.0,1227.25
12.0,1224.5
13.0,1225.0
14.0,1224.0
15.0,1228.75
16.0,1216.75
17.0,1216.25
10.0,1226.5
11.0,1227.75
12.0,1229.5
13.0,1230.25
14.0,1228.0
15.0,1226.25
16.0,1217.75
17.0,1224.25
10.0,1225.0
11.0,1226.75
12.0,1228.5
13.0,1231.0
14.0,1230.75
15.0,1229.5
16.0,1239.25
17.0,1237.5
10.0,1222.0
11.0,1228.25
12.0,1225.75
13.0,1222.0
14.0,1215.5
15.0,1211.25
16.0,1210.5
17.0,1212.75
10.0,1218.5
11.0,1206.5
12.0,1203.25
13.0,1198.5
14.0,1210.0
15.0,1217.5
16.0,1218.0
17.0,1227.0
10.0,1224.25
11.0,1220.5
12.0,1223.25
13.0,1224.25
14.0,1224.25
15.0,1227.25
16.0,1233.25
17.0,1236.5
10.0,1242.0
11.0,1238.25
12.0,1239.25
13.0,1239.75
14.0,1240.5
15.0,1243.25
16.0,1249.75
17.0,1246.25
10.0,1256.5
11.0,1259.75
12.0,1263.0
13.0,1264.25
14.0,1265.0
15.0,1266.75
16.0,1262.25
17.0,1261.25
10.0,1277.75
11.0,1280.5
12.0,1283.0
13.0,1284.25
14.0,1281.75
15.0,1282.0
16.0,1282.5
17.0,1297.0
10.0,1306.5
11.0,1304.75
12.0,1305.25
13.0,1307.0
14.0,1308.75
15.0,1307.75
16.0,1305.75
17.0,1305.5
10.0,1304.75
11.0,1314.0
12.0,1313.5
13.0,1313.5
14.0,1316.25
15.0,1316.25
16.0,1317.5
17.0,1323.0
10.0,1320.75
11.0,1318.5
12.0,1317.25
13.0,1314.75
14.0,1309.75
15.0,1306.25
16.0,1304.0
17.0,1301.25
10.0,1316.75
11.0,1317.25
12.0,1313.25
13.0,1317.0
14.0,1328.0
15.0,1326.75
16.0,1331.5
17.0,1325.0
10.0,1322.0
11.0,1325.75
12.0,1328.25
13.0,1336.25
14.0,1334.25
15.0,1335.75
16.0,1338.5
17.0,1338.75
10.0,1350.5
11.0,1349.0
12.0,1346.25
13.0,1351.0
14.0,1349.5
15.0,1348.0
16.0,1352.25
17.0,1349.5
10.0,1345.75
11.0,1343.75
12.0,1339.75
13.0,1343.5
14.0,1345.25
15.0,1346.5
16.0,1345.5
17.0,1343.0
10.0,1364.25
11.0,1360.0
12.0,1360.0
13.0,1360.0
14.0,1358.5
15.0,1355.75
16.0,1362.0
17.0,1360.5
10.0,1356.5
11.0,1349.5
12.0,1349.5
13.0,1351.0
14.0,1346.0
15.0,1347.0
16.0,1352.25
17.0,1349.25
10.0,1349.25
11.0,1352.0
12.0,1352.25
13.0,1351.25
14.0,1352.75
15.0,1356.75
16.0,1352.75
17.0,1355.75
10.0,1356.0
11.0,1355.75
12.0,1356.0
13.0,1360.5
14.0,1361.5
15.0,1366.25
