1429,1433.75,1435,1432.5,-3.5,1.25,-2.5,SELL
1445.75,1441.25,1450.75,1435,10.75,9.5,-15.75,SELL
1450.25,1448,1458.5,1450.75,-0.5,10.5,-7.75,SELL
1453.25,1452.25,1452.75,1458.5,-5.25,0.5,5.75,BUY
1452,1454.75,1454,1452.75,-0.75,-0.75,-1.25,SELL
1456.5,1455,1464.5,1454,2.5,9.5,-10.5,SELL
1462.75,1469.25,1459.25,1464.5,-1.75,-10,5.25,BUY
1459.5,1456.75,1435,1459.25,0.25,-21.75,24.25,BUY
1433.5,1418.5,1437.75,1435,-1.5,19.25,-2.75,SELL
1446.75,1446.5,1442.25,1437.75,9,-4.25,-4.5,SELL
1443.75,1444.25,1433,1442.25,1.5,-11.25,9.25,BUY
1428.75,1425,1432.5,1433,-4.25,7.5,0.5,BUY
1428,1426,1414.75,1432.5,-4.5,-11.25,17.75,BUY
1409,1427.25,1436,1414.75,-5.75,8.75,-21.25,SELL
1433.75,1430.25,1434.75,1436,-2.25,4.5,1.25,BUY
1442,1440,1436.5,1434.75,7.25,-3.5,-1.75,SELL
1443,1450.75,1461.75,1436.5,6.5,11,-25.25,SELL
