1443.75,1444.25,1433,0.1,0.03,-0.78,SELL
1428.75,1425,1432.5,-0.3,-0.26,0.52,BUY
1428,1426,1414.75,-0.32,-0.14,-0.79,SELL
1409,1427.25,1436,-0.41,1.3,0.62,BUY
1433.75,1430.25,1434.75,-0.16,-0.24,0.31,BUY
1442,1440,1436.5,0.5,-0.14,-0.24,SELL
1443,1450.75,1461.75,0.45,0.54,0.76,BUY
1462.75,1445.25,1448.5,0.07,-1.2,0.22,BUY
1453.25,1447.75,1471.25,0.33,-0.38,1.62,BUY
1484.25,1486.5,1480,0.88,0.15,-0.44,SELL
1482.5,1484.75,1492.5,0.17,0.15,0.52,BUY
1489.75,1479.5,1480.5,-0.18,-0.69,0.07,BUY
1481,1483.25,1483.75,0.03,0.15,0.03,BUY
1481.5,1486.25,1476.5,-0.15,0.32,-0.66,SELL
1460,1451,1463.5,-1.13,-0.62,0.86,BUY
1470.25,1473,1461.25,0.46,0.19,-0.8,SELL
1467.25,1476,1483.25,0.41,0.6,0.49,BUY
1478.25,1478.5,1465.5,-0.34,0.02,-0.88,SELL
1458.5,1472,1463.5,-0.48,0.93,-0.58,SELL
1492,1489.25,1491.5,1.91,-0.18,0.15,BUY
1492.5,1494.5,1483.5,0.07,0.13,-0.74,SELL
1492.25,1492.25,1496.75,0.59,0,0.3,BUY
1499,1497,1500.5,0.15,-0.13,0.23,BUY
1502.5,1498.5,1502,0.13,-0.27,0.23,BUY
1504.25,1500.5,1503,0.15,-0.25,0.17,BUY
1517.5,1510.75,1500.5,0.96,-0.44,-0.68,SELL
1490,1484.75,1462.5,-0.7,-0.35,-1.49,SELL
1471,1481.75,1486.5,0.58,0.73,0.32,BUY
1495.25,1490.5,1504.25,0.59,-0.32,0.92,BUY
1522.25,1499.25,1515,1.18,-1.51,1.03,BUY
1506.75,1502.5,1494.5,-0.55,-0.28,-0.53,SELL
1505,1503,1507,0.7,-0.13,0.27,BUY
1517.5,1510.25,1529.75,0.69,-0.48,1.29,BUY
1521.25,1503.25,1489.25,-0.56,-1.18,-0.92,SELL
1501.25,1467.75,1448,0.8,-2.23,-1.32,SELL
1454.75,1454.5,1446.75,0.46,-0.02,-0.53,SELL
1444.5,1442,1409.25,-0.16,-0.17,-2.27,SELL
1413.25,1406,1403.5,0.28,-0.51,-0.18,SELL
1391,1382.25,1403,-0.9,-0.63,1.49,BUY
1414.25,1406.25,1437.5,0.8,-0.57,2.21,BUY
1435.25,1431.75,1434.5,-0.16,-0.24,0.19,BUY
1423.5,1412.25,1418.25,-0.77,-0.79,0.42,BUY
1455.25,1450.75,1435.75,2.54,-0.31,-1.03,SELL
1443.5,1440,1442.25,0.54,-0.24,0.16,BUY
1450.25,1446,1450,0.55,-0.29,0.28,BUY
1457.5,1455.5,1461.5,0.51,-0.14,0.41,BUY
1454.75,1454.25,1464.5,-0.46,-0.03,0.7,BUY
1465.5,1464.25,1470,0.07,-0.09,0.39,BUY
1471,1467,1469.75,0.07,-0.27,0.19,BUY
1472.75,1471,1466,0.2,-0.12,-0.34,SELL
1465.75,1469.5,1486.25,-0.02,0.26,1.14,BUY
1483.5,1485.75,1489.5,-0.19,0.15,0.25,BUY
1491,1477.75,1465.75,0.1,-0.89,-0.8,SELL
1471.75,1469.5,1472.25,0.41,-0.15,0.19,BUY
1477,1459.25,1463.5,0.32,-1.2,0.29,BUY
1464,1466,1466.5,0.03,0.14,0.03,BUY
1459.5,1447,1447.25,-0.48,-0.86,0.02,BUY
1434.5,1430.5,1427.25,-0.89,-0.28,-0.23,SELL
